"Actual","Predicted"
0,2.42797885916595
0,2.19032985914969
4.096,2.51980834779214
2.503,2.34845355062503
2.746,2.55284712426009
3.064,2.25118056381204
4.576,2.43168121455668
4.616,1.95744056310499
4.749,2.42705097282906
1.481,2.07279243097467
2.862,2.70370419433175
0,2.65904373388618
0,2.50879724295531
2.835,2.02991642133912
0,2.58383287086186
0,2.15957612540154
0,2.8333045018261
2.953,2.07350288263472
1.824,1.24309685468967
4.003,2.51855045120175
1.671,2.61316033716891
4.211,2.29747124688364
4.4,2.77844445372555
1.451,1.98302187139015
2.009,1.91243833609299
1.746,1.64984274974304
2.861,2.60403561151846
1.113,2.57439036558881
1.26,2.07558732077795
0,2.45795324857537
0,2.52045532173326
1.562,2.54929196562619
0,1.84081744696949
4.009,2.54013103519312
2.209,2.64920368339242
3.281,2.64188277220901
0,2.33596750023814
1.573,2.51304221811091
4.538,2.94924234384707
3.958,2.44616413114842
4.211,2.40669310899459
4.914,2.12675968008368
3.357,2.10884147806612
0,2.73651563815078
0,1.75925615865188
1.604,2.29598574876725
2.577,2.71277807070261
0,2.02206024763201
4.147,2.6424501429696
2.856,2.38587647611871
4.385,1.97136901804585
0,2.67133517869889
0,2.57366344385073
0,1.97972244753502
0,2.75125858475109
4.511,3.00840150304392
4.49,2.23765258370215
2.141,3.06230717883026
3.07,2.46554411932102
3.16,2.61435908310532
0,1.54318343763137
4.698,2.90385739164241
2.129,2.61107526835017
3.673,2.72936697054377
2.087,2.11925958363113
2.07,2.57714097766516
4.15,1.94933269003241
2.252,2.30487200695199
1.279,1.96867997113131
0,1.43823954720479
3.44,2.40153437240313
1.502,2.46031260878984
4.806,2.51787686165265
0,2.08202277040918
4.69,3.09669520428423
3.942,2.66154326840506
3.632,2.74013917677693
0,2.40428555191443
0,2.3549850468647
0,2.42232417966806
4.268,2.4496929653121
4.144,2.9137277455508
3.708,2.81201434975074
3.795,2.38605612271964
2.028,2.24886721572234
3.457,2.22274444190718
4.091,2.46937209868187
2.231,2.57070238166956
3.317,2.6811234119749
3.826,2.31734844363924
0,2.56676804913152
1.615,2.30850142937323
3.511,2.40992928877934
4.702,1.90601097013402
0,2.45712600646722
0,2.50229680379281
3.957,2.40360846615758
2.882,2.58449737233162
1.828,2.41335753894539
2.674,2.56947293374094
4.601,2.42250748922437
3.982,2.09474507160588
4.834,2.35004003578301
0,1.66770843363697
0,2.1065631781588
2.522,2.26164339293226
0,2.09551838982868
4.564,2.23605267862041
0,2.01200081650886
1.861,2.62201990855006
2.051,2.41850919982931
4.531,2.51664235639733
3.876,2.45864618533897
2.883,2.54236208533417
3.165,2.76594333514461
4.218,2.53571545980635
3.711,2.33445044136908
3.498,2.34635893721844
3.301,2.42119609317699
3.855,2.79397545030134
1.156,2.01594589240037
2.681,3.0361669499455
4.665,2.28004207243227
0,1.95341567669904
0,1.65885007906115
2.524,2.67025790694773
3.845,2.68390057476434
4.738,2.84569160748249
4.713,2.06847185115779
3.214,2.3763070382225
4.522,2.49239096175337
0,2.33417099512055
2.201,2.25882861225462
3.94,2.30212121169722
3.906,2.46027834795925
2.592,2.58380928123413
3.518,2.00901612971202
3.88,2.63903331004804
0,2.22682581995158
0,2.2917046414099
3.002,2.54221630858039
0,2.26778933378741
0,2.43784867479704
3.657,2.66544885805138
0,2.47539644206454
4.72,2.54251453705539
2.933,2.56214230101711
2.807,2.73223830973448
2.393,2.09105861684623
0,2.28148797715875
4.38,2.24503127238785
0,0.871181099339444
2.844,2.54819566136115
4.429,2.65321933885034
3.99,2.36251233681729
3.146,3.06632366005686
4.001,2.73096257865753
3.695,2.62425292482613
4.525,2.69186736878332
3.095,3.02213434661899
0,-0.432415651745206
4.371,2.49277089899193
1.771,2.45520066018996
4.196,2.45179711486104
1.523,1.59359567113854
4.166,2.09746414345363
1.829,2.42662673893444
0.601,3.14219937613066
1.208,2.04254632203708
4.854,2.65266702597106
3.71,2.70890621509241
0,1.30478646723407
3.089,2.65815267310135
1.665,2.43681570849306
3.18,2.18647804928628
1.808,2.67390402097637
3.979,1.97416967671308
3.099,2.52546226109712
3.894,2.64313351307886
4.037,2.36191742844205
4.351,2.47766755459771
1.245,2.64231440015232
0,0.9681254799814
3.786,1.98764737548615
0,2.22858917730033
0,-0.78205161264517
3.678,2.25198676479308
0,1.98724737489297
2.903,2.70819528656165
4.397,2.07727137722174
0,2.12986303262931
4.107,2.52737480034011
4.112,2.51968894737608
4.916,2.27825764822198
1.932,2.59784885752439
2.675,2.20511380041056
0,2.62832536427965
2.301,2.69708758211532
2.16,2.4445839801769
1.825,2.73456766686034
0,2.82639575151596
0,2.12176088888112
1.899,2.41751129551426
4.913,2.42557818635774
2.228,2.7943322889051
4.75,2.39498080461333
4.611,1.63251729599298
0,2.78030330224615
4.406,2.65801200357531
3.148,2.30553342842974
2.621,2.47132683902828
2.495,2.70377807386784
4.618,2.82800360917991
4.404,2.97170901702306
0.946,2.53178446244383
2.096,2.47456544200113
2.205,2.39412678093657
2.635,2.5675217021168
0,2.84405595936267
4.926,2.35037328461206
1.887,2.50742026276587
3.003,3.2224047110661
3.509,2.31892893463063
2.854,2.88084969105408
4.49,2.61299705158021
2.064,2.19337852928172
2.725,2.2615218177806
1.954,1.65916685445384
4.186,3.16168080223849
2.876,2.87191933373663
4.178,2.0038111157874
4.123,3.1801767996906
2.517,2.46228602548003
0,2.10088761890268
2.908,2.37785443730585
1.306,2.45352179204535
0,1.07618660361644
2.948,2.56554825070832
3.808,2.3507982056979
0,2.23453423732655
3.837,2.09870739602067
3.24,3.01011648690133
2.929,2.52607901123347
2.936,2.50834136265965
3.257,2.65441816591004
2.975,2.39316510738635
0,1.01854702995755
4.327,2.79365170521599
4.719,2.50355217521877
4.287,2.84684626274567
0,1.9923682753703
4.781,2.52782373119129
1.578,3.01645480679316
3.818,2.4719670502559
1.462,2.12417508730552
3.931,2.03867178239456
2.079,2.49761887603681
3.566,2.65216503397136
4.125,1.70790698568226
0,2.20335004160514
2.081,2.72235619221387
3.056,2.65671718509241
2.624,2.91065562938401
1.458,2.0744345636199
4.832,2.42801037829953
0,2.37363478917165
1.923,2.39759856982996
1.896,2.50633217034632
3.922,2.33777250556871
3.195,2.14177000069854
2.731,2.20486059453586
1.928,2.23031831640181
3.039,2.30544945877088
0,2.45664904373505
0,2.56918871125774
0,1.15899212993355
2.903,2.63789468404617
4.676,2.8124346787057
2.677,2.47452368082926
4.685,3.19834719850916
0,2.28339496910618
0,2.54472401129757
3.138,2.68437791723546
0,2.15021511982769
3.11,2.48137919179043
3.316,3.0329193962663
1.207,2.20657863894095
0,2.073870109862
0,2.27510535972282
4.619,2.56353981963317
0,2.51998411621659
2.968,2.2972461613872
0,2.53788561253399
2.383,2.49443171057503
3.899,2.49015498082002
4.852,2.41149103724966
0,2.09145981599039
4.711,2.98372404801375
3.681,2.30898145530521
2.868,2.48453063919904
0,2.49672385478109
3.298,2.24516402446924
3.354,2.43556874923086
3.792,2.70635781064175
2.785,2.27362813609814
0,2.22804126839733
0,2.10223916378777
0,2.23053404017154
4.394,2.06971175040738
0,2.76618158497779
1.957,2.50137384512055
0,2.46919301306533
4.679,2.4007448868663
0,0.0562808773610444
4.531,2.40937193792628
3.952,2.53358404572115
0,2.50337955431101
0,2.42936403947532
3.454,2.45941523672581
1.929,2.64582215357617
2.684,2.64825436925121
2.256,2.24966236458272
0,2.54593514784147
3.603,2.92656890774254
2.468,2.79820867983798
4.281,2.50698470448115
1.894,2.32812383119588
4.098,2.70808896702796
0,0.841094713821283
2.758,1.29512836108801
4.169,2.57312612391601
0,2.36450960921328
0,1.41085365345314
0,2.59536052535838
2.543,2.70877374712472
0,2.26424997772032
3.636,1.9020946997654
0,-1.50015337256042
0,1.62956093805759
3.614,2.52311641134403
4.187,2.41697096468529
3.497,2.41307847232366
2.014,1.6970207268265
0,1.99446941816935
3.439,2.66720199612038
4.056,2.90318928460022
0,2.63149417212035
2.826,2.47038400456962
0,1.69697277678554
1.865,2.52821483902597
0,2.39264914888213
0,2.57543352985492
1.815,2.54761156446346
4.079,2.39770206339195
0,2.69769537090122
2.893,2.37298498364442
4.566,2.58469027982926
1.575,2.72585418356112
2.254,2.13235151577741
4.368,2.1749912741919
3.536,2.56450446172826
4.053,2.82830919234278
3.595,2.61633067181531
3.739,2.28667011909548
2.594,2.54679365582313
4.485,2.20812006705132
0,2.87289365132008
0,2.79215493966881
1.864,1.05129821874097
3.442,2.66220442124367
2.51,2.03986923702783
0,2.61917561623259
2.631,2.77771411063146
1.182,2.02078114417143
4.584,2.30560399512002
2.827,2.67072177757674
4.201,2.63425112190842
0,2.21189028148581
0,2.06423511656204
0,2.42336980704547
0,2.41330213055197
0,2.08429236203989
0,2.18631703290617
0,2.32494473530407
0,1.68169766630794
4.356,2.30680442633016
4.068,2.75018986695373
2.075,2.2607339885908
4.718,3.27267563447208
3.591,2.91683133931756
3.061,2.4778263469744
4.368,2.49145281919014
0,2.18870392402478
3.131,2.87136241726259
4.834,2.44951641900917
2.786,2.3920195507088
2.381,2.62614553306065
2.705,2.80348863693906
2.163,2.34621132039647
3.352,2.36823168026059
2.432,2.81004724256286
0,2.07280886137686
0,2.42382166432813
0,3.38605984195094
3.381,2.78351079469886
0,2.04895182841627
2.4,2.42672577812395
0,2.82731675299621
4.157,2.56750085785051
1.3,2.02421837130607
4.092,2.70942465708007
2.54,2.34137693612091
3.048,2.3109081257515
3.249,2.86005772882533
0,2.36302881767969
2.776,1.89050576617829
3.558,2.61156913854468
0,2.23007268647129
2.98,3.15459587638433
1.34,2.41651597249837
3.61,2.59778059831445
2.945,3.37730855299577
3.267,2.18136699456704
2.998,3.14813792281957
3.808,2.36396389166754
2.04,2.61702425927169
0,1.87702743030543
3.353,2.41199611022841
4.042,2.77378699124983
2.509,2.74614570173855
0,2.2159496295379
4.078,2.47075058617935
1.308,2.30854052353318
2.275,2.75493440687502
4.724,2.84927137507545
4.131,2.2564752147047
0,2.3333946708244
4.01,2.69552385253588
3.999,2.39930231871839
4.079,2.71977711539243
2.447,2.26227756717791
4.395,2.68473835673876
0,2.49210558263835
3.627,2.53159615074071
2.208,2.74591575546306
1.901,2.44185642202084
0,2.51286008782413
0,2.56689742250455
0,2.01459931620085
3.632,2.47565432235461
0,2.21973132251256
4.422,2.7032096771775
0,2.86303986000495
1.574,2.47867772215163
0,2.10415692938687
0,0.429188729990886
0,2.52389689958146
0,2.94839706393405
0,1.91618214027939
4.098,2.67708786518669
4.329,2.35669141331187
3.631,2.65656754265611
4.11,2.50965095324698
2.058,2.64161623813962
4.022,2.2288623265013
4.398,2.37619263740788
2.482,2.66648725553991
0,2.28906023266358
1.975,2.62152664260107
2.388,2.49903639444168
0,2.85404704460838
1.533,2.70631859616646
0,1.88655096979944
4.321,2.60293472021201
2.665,2.53085077352908
0,2.29830344804126
0,1.75691789478402
4.162,2.52072118751296
4.567,2.58519604525991
3.876,2.4459323100058
0,2.51043688608711
4.554,2.30965070224997
4.072,2.50363041986348
3.131,2.51370085809418
3.461,2.55773593989302
0,2.54089775947847
0,2.31397407150522
1.49,2.29146295530346
0,1.95244820706434
0,2.18050450548567
3.512,2.47359746793644
0,2.61043147234088
1.978,2.76101650454483
3.196,2.46203311763302
1.555,2.40803363804918
3.649,2.5679694688221
0,2.57893689922831
0,2.33846449833189
0,2.54050604464791
3.939,2.58746058858129
2.41,2.72904327887146
3.667,2.80897465940315
4.276,2.55574185147409
4.52,2.37584092034869
3.594,2.53368856478233
0,2.68884362777189
2.15,2.65167453931094
3.606,3.18550672961238
3.218,2.32528537395044
0,2.28048653356601
3.808,2.3926266668972
3.843,2.35750442670966
4.054,1.98020862748472
0,2.83580807354213
2.035,2.90334759340081
1.973,2.45946731063664
4.547,2.52610740742409
1.624,2.2692693186203
3.169,1.51894236695552
3.65,2.2913491439283
0,2.39891160608858
0,2.10374806652145
4.18,1.76230169642177
2.15,2.5552631668455
4.61,2.28613080434359
0,2.28020206569995
2.444,2.28323214873622
4.493,2.52212888224042
3.218,2.56932417099784
3.966,2.43849372498051
0,1.75231319073777
2.235,2.27561205074746
3.019,1.68151972345876
3.955,2.39455336769733
3.809,2.4847179955838
4.46,2.50351298004961
2.271,2.65502584772909
1.044,2.57335227271147
3.371,2.46438212445505
0,3.09848455939675
3.965,3.01894976503
0,2.5598462270198
3.4,2.31491779182331
4.4,2.66498536306921
3.434,2.58703525901562
0,1.36992917523318
0,2.24686516844701
1.392,2.45193417687968
0,1.74205826771964
3.539,2.58838236224689
4.679,2.16091365373886
2.371,2.45987258141146
0,2.21906095228385
1.855,2.685121568821
3.651,2.52038201473594
0,1.88726931665718
3.801,2.62412925117399
0,2.22448153187844
1.35,2.06336136904456
4.136,2.56958527522818
4.545,2.21486747806926
1.836,1.59336991306481
2.932,1.77522338055053
1.894,2.55784443377412
1.505,2.43752747556466
0,1.44061592431616
2.26,2.08424489834937
4.97,2.06323806850646
3.417,2.53655660589014
1.932,1.95583859653232
0,2.25616308699248
2.388,2.28344015679954
3.014,2.37759599861113
3,2.29535251179567
2.075,2.63153965030817
4.183,2.30570288712623
2.9,2.6755849529572
3.923,2.43379400824659
3.901,2.6660418223311
3.144,2.068361104346
0,2.48373667419469
4.276,2.76336349376035
4.857,2.55585374244942
0,2.74976463155568
3.214,2.681427575617
4.097,1.77644536473226
3.914,2.47575454909291
0,2.59489840164643
1.398,2.45850238717828
3.532,2.65360338358562
3.287,2.76337243911672
2,1.9667861057944
0,1.52360579794593
2.219,2.64902535281917
2.84,2.3086933618131
4.61,2.69830612316587
2.677,2.49365278440795
4.886,2.27971862803818
3.831,2.01032500013297
4.705,2.6354447804967
3.781,2.81921043023293
0,1.63442508191439
3.214,2.50813025213927
4.603,2.79300542150274
3.025,2.35469367944692
3.084,2.81213202865281
0,2.3102588529996
0,2.30437321075506
3.347,2.23732499733216
1.236,1.97853439563334
0,2.30155230543917
0,0.477937791273626
0,2.24541575530231
0,1.76106437123295
4.889,2.24364668556363
0.97,2.45766469825477
0,2.57684263406898
2.225,2.74847923477794
0,1.658004530346
0,2.32518225295455
4.174,3.4425672958574
2.187,2.56889032794619
4.455,2.50635642289377
0,2.3228881293053
1.997,2.79959633234967
4.993,2.75781663324595
2.825,2.66629671662796
3.162,2.73131044404367
4.186,1.98038313463921
3.096,2.56559428669599
4.619,2.68524671627659
2.036,2.43765435108885
4.348,2.13679702259324
4.469,2.08535185489974
3.225,2.20540472243254
2.627,2.60406112851
0,2.2505695401698
3.193,2.3586916302358
4.422,3.03908621846803
4.352,2.18148540920805
0,2.33699065608829
3.91,2.37123310444854
2.44,2.87559584087425
2.137,2.73553469929153
4.665,2.42388758480249
0,2.69744445739328
3.634,2.80044801831276
4.145,2.67978256218762
0,2.41191621242502
2.701,2.15419777434455
0,2.56217611455472
0,2.16438699615682
1.488,2.27774201862773
1.719,1.95096651161144
0.784,2.47120878733831
4.503,2.83270243416355
1.801,2.36391952470501
3.378,2.66401600046315
2.991,2.65772854578911
4.318,1.98679973642209
0,2.31864249044546
0,2.18787880099362
2.158,1.09152375637869
0,2.28728689276352
2.011,2.45428617808295
3.252,2.45473571731796
2.928,2.16858867725974
2.163,1.94157796369412
3.168,2.48861791694723
0,1.77407542384698
4.548,2.42997271614499
0,2.10035767378344
4.224,2.68018935169895
4.018,2.52266635134563
2.095,2.73084678099461
0,2.2023664904481
2.542,2.34694340131027
2.381,2.87618684312383
2.818,2.62736769071827
0,0.6683347557654
4.137,2.51882748436234
3.234,2.41831967818676
1.756,2.5005403254315
3.896,2.19872412457954
4.16,2.34845974213262
0,1.97923837123311
3.677,2.65049670506634
0,1.81526274729701
0,1.70052594410739
0,2.24402808823272
0,1.91662451807319
3.289,2.67279080046075
0,2.40251686559611
0,2.57847335444557
3.385,2.2007622577094
0,1.52215718762197
3.369,2.26593354284074
2.133,2.32008694855969
4.223,2.5135259501441
2.251,2.34994041048369
0,2.92068218082705
1.063,2.3512527700578
0,2.3540382004068
2.143,2.81958220727277
4.47,2.59937108594546
2.089,2.55493386848653
3.887,2.44210442469634
2.476,2.54335969919585
0,2.75033155048267
2.452,2.39552767908036
1.933,2.19318635026267
2.824,2.42794148550733
3.447,2.4476747601216
2.527,2.30616171018106
0,0.0679787693263112
0,-0.471584584922237
4.093,2.92471700835601
3.369,1.97883125192138
2.942,2.97965733416508
4.127,2.49503773702321
4.308,2.31608958729519
2.64,2.46276866168486
0,2.5454809342445
0,2.03053874941938
0,1.0627354922043
0,2.51572542397579
2.871,2.64426211932451
1.315,2.1041697207176
2.801,2.70351311472513
0,2.35226381570611
4.68,2.4644366998545
1.749,2.35881199764147
4.188,2.68542161256533
4.334,2.43236604746664
3.16,2.56797302272798
0,2.2099312782117
1.793,1.89904764777698
0,2.3628391974432
0,2.35764386542539
2.803,2.07073373988573
0,2.30547883138302
3.375,2.21463768120258
0,2.62352524351405
1.608,2.51931481247426
0,2.27865646808899
0,2.61536327045845
1.253,2.38337959251964
0,2.45063875723166
1.42,2.48950467317111
4.747,2.3731636015325
3.412,3.33488501568431
4.742,2.39503397858713
3.12,2.89080934764798
0,2.08447440856294
4.746,2.46548191511045
2.843,2.25601951763459
0,2.08479426940294
0,2.19685966828538
0,1.95814242206931
3.294,2.93024979135671
4.904,2.59353089153397
0,2.29155285554314
3.12,2.10644632674173
3.892,2.60896304416964
0,2.96711024378948
2.935,2.41538519967102
3.168,2.4134116128825
1.817,2.3153580637169
0,0.18272986730711
3.612,2.88591209713494
3.715,2.49847788650598
0,2.42929232548965
0,1.94793006675519
4.852,2.16081704177426
4.41,1.99970489363262
0,2.46800173137258
4.017,2.794883511458
2.434,2.85783526837914
2.83,2.05502284661607
3.496,2.10285952558673
0,-1.39440981040703
2.914,2.17148571803501
3.431,2.86810588652369
1.668,2.39366484058914
3.007,2.70256019636007
3.874,2.30734890682172
0,2.58482308298368
0,2.50376223107733
3.112,2.23449874496512
2.207,2.41369131069237
4.025,2.54872408401631
0,0.00328121917957169
0,2.41540929208093
0,2.12165007462238
1.728,1.99577529268521
1.634,1.94186642043765
0,1.28032419048568
0,2.35822644417614
0,2.28053837886706
1.884,2.45331539370043
0,0.951175529269411
0,0.859349920796085
2.792,2.64643850780245
0,2.07175793063197
3.974,1.16240128931389
0,2.59294480979961
0,2.23349134592857
0,2.33723927011672
1.902,2.42964195471007
3.595,2.60660184562347
3.587,2.58620462229603
4.757,2.24886426027855
2.307,2.42385873327378
4.227,3.03859247107228
2.427,2.24369031480823
0,2.1894204329647
1.557,2.2462087980742
4.444,2.14667938096129
3.526,2.48536199677655
3.99,2.47585325994477
4.735,2.70490000173331
4.379,2.43122860775269
0,2.43108647303875
3.514,2.19447600194183
4.761,2.46973597056537
0,2.11200907446434
3.797,2.40761464186514
3.13,2.77080926598034
2.679,2.84036658058617
1.526,2.28167199753347
4.729,2.92423607382295
0,2.73334542058033
4.769,2.36399647306594
0,2.13043406766959
1.99,2.5218605351518
1.927,2.50410187416774
2.183,2.72452973135852
0,2.85002957601945
3.985,2.4985375448196
0,1.60929022423545
1.469,2.21346201104551
1.936,2.04874030824344
2.692,2.61474422907238
2.792,0.952951376459049
3.916,2.60008423028954
1.766,2.35245179207843
3.649,2.45995577375898
4.174,2.36622115297204
3.009,2.52501643194237
4.213,2.10417066631477
3.406,2.49991671703965
4.182,2.70642336421571
0,2.48629138899212
0,2.18343171350724
0,2.40572674169727
2.067,2.00856237443868
1.608,2.27808734875584
3.617,2.49707934598154
4.741,2.35031337280595
0,1.83934707864507
3.411,2.45917564481653
0,2.20429224722838
4.661,3.00829140767492
3.17,2.67114628389571
0,2.49084651268381
0,2.3188175803428
0,2.12031448842083
3.913,2.74667105516191
2.072,3.22163634038884
2.218,2.95167652077077
3.834,2.63171875547824
0,2.24220878241326
4.003,2.30911388040954
2.321,2.12407745932679
4.469,2.71664512651092
3.17,2.69976624646694
4.226,2.92596937764646
3.914,2.38451110749283
2.524,2.3528094822065
3.719,2.51444195363934
4.63,2.35662861649136
3.789,2.69252229139496
0,2.1770091436825
4.41,2.62354832614402
2.81,2.41028634427594
0,1.98752802863075
3.597,2.39597331735734
2.67,2.97474774643134
3.526,2.46613033820766
0,2.57911062543987
4.872,2.47689398316839
0,2.24761100520796
3.292,2.52836641134391
3.613,2.54595538282513
2.073,2.40817520882667
2.366,2.7387838741926
0,2.49696065426419
1.457,2.03184876908821
2.849,1.03442487737821
0,2.3969916376796
4.024,2.22266351686462
2.361,2.30623254498776
4.425,2.1486606013047
4.735,2.75586348665055
0,2.80576075626527
2.244,2.15249855375755
2.945,2.6191850632041
0,2.04302660737607
0,2.64033199958191
4.63,2.56881610626989
1.586,2.03389530713914
0,2.38203252097132
0,1.51208411663599
2.25,2.28263797084129
0,2.4922925000788
3.605,2.20793245191488
2.714,2.46777280218955
0,0.559097208596481
4.87,2.42692684248921
4.079,2.55831066220068
3.359,2.5607608747687
0,1.36854083474386
0,1.7831191524334
4.177,2.63898757759149
2.863,2.96054719694336
3.242,2.3686728089363
4.9,2.61904396724711
3.187,2.45064826910484
2.382,2.76236913841727
0,2.1329149957888
4.468,2.6589986503867
0,1.76301381232632
3.443,2.63930342354116
3.609,2.6926229912766
3.669,2.33627956244599
4.158,2.72743888053285
2.452,1.94373227241444
2.679,2.53040833776932
1.741,2.54721046651028
0,2.09684165264538
0,2.62554455704061
0,2.60617191662833
0,2.10591185704904
0,2.57771458784349
2.56,2.54032507470667
3.939,2.08355453192378
